SUBSET,QUESTION,A,B,C,D,E,TRUE
B4B01DMA,"Je dána binární relace R na množině ℤ definovaná jako R = {(a, b) ∈ ℤ² : a + b je sudé číslo}. Které tvrzení je pravdivé?","R je reflexivní, ale není symetrická.","R je symetrická, ale není tranzitivní.","R je reflexivní, symetrická a tranzitivní.","R je antisymetrická a tranzitivní.","R není reflexivní ani symetrická.","C"
B4B01DMA,"Pomocí Euklidova algoritmu určete největší společný dělitel čísel 48 a 18.","6","8","12","18","24","A"
B4B01DMA,"Určete, zda je relace R na množině ℕ definovaná jako R = {(a, b) : a × b je dělitelné 5} reflexivní.","Ano, je reflexivní.","Ne, není reflexivní.","Záleží na konkrétních číslech.","Nelze určit.","Žádná z možností není správná.","B"
B4B01DMA,"Posloupnost je definována rekurzivně: a(n) = 2a(n-1) + 1, a(0) = 1. Jaká je hodnota a(3)?","7","9","15","31","63","C"
B4B01DMA,"Které z následujících tvrzení o vlastnostech celých čísel je pravdivé?","Každé celé číslo je dělitelné 0.","Součet dvou sudých čísel je vždy liché.","Součin dvou lichých čísel je vždy liché.","Každé celé číslo je prvočíslo.","Součet dvou lichých čísel je vždy sudý.","C"
B4B01DMA,"Pomocí matematické indukce ověřte, zda platí: 1 + 3 + 5 + ... + (2n-1) = n² pro všechna n ∈ ℕ. Který krok je klíčový v indukčním kroku?","Ověření pro n = 1.","Předpoklad, že platí pro n = k.","Ukazat, že platí pro n = k + 1.","Ověření pro n = 2.","Předpoklad, že platí pro n = k - 1.","C"
B4B01DMA,"Je dána relace R na množině ℤ: R = {(a, b) : |a - b| ≤ 1}. Které tvrzení je pravdivé?","R je ekvivalence.","R není symetrická.","R je antisymetrická.","R je reflexivní a symetrická.","R není tranzitivní.","D"
B4B01DMA,"Určete, kolik existuje celých čísel x, pro která platí 12 ≤ 3x + 6 ≤ 24.","2","3","4","5","6","C"
B4B01DMA,"Rekurzivní posloupnost je dána: b(n) = b(n-1) + b(n-2), b(0) = 1, b(1) = 1. Jaká je hodnota b(4)?","3","5","8","13","21","B"
B4B01DMA,"Které tvrzení o Euklidově algoritmu je pravdivé?","Vždy končí po jednom kroku.","Funguje pouze pro prvočísla.","Je založen na dělení se zbytkem.","Nelze ho použít pro záporná čísla.","Vždy vrací prvočíslo.","C"
B4B01DMA,"Je dána relace R na množině ℕ: R = {(a, b) : a + b = 10}. Které tvrzení je pravdivé?","R je reflexivní.","R je symetrická.","R je tranzitivní.","R je antisymetrická.","R je ekvivalence.","B"
B4B01DMA,"Určete, zda je výrok pravdivý pomocí matematické indukce: 2 + 4 + 6 + ... + 2n = n(n+1) pro všechna n ∈ ℕ.","Pravdivý, indukce potvrzuje.","Nepravdivý, selže základní krok.","Nepravdivý, selže indukční krok.","Nelze ověřit indukcí.","Pravdivý pouze pro n ≤ 5.","A"
B4B01DMA,"Jaký je největší společný dělitel čísel 72 a 30 pomocí Euklidova algoritmu?","2","6","12","18","30","B"
B4B01DMA,"Relace R na množině ℤ je definována: R = {(a, b) : a - b je dělitelné 3}. Které tvrzení je pravdivé?","R není reflexivní.","R není symetrická.","R je ekvivalence.","R není tranzitivní.","R je antisymetrická.","C"
B4B01DMA,"Posloupnost je definována: c(n) = 3c(n-1) - 2, c(1) = 4. Jaká je hodnota c(3)?","7","10","28","34","40","C"
B4B01DMA,"Které z následujících čísel je dělitelné 9?","12345","23456","34567","45678","56789","D"
B4B01DMA,"Relace R na množině ℕ je definována: R = {(a, b) : a ≤ b}. Které tvrzení je pravdivé?","R je reflexivní a tranzitivní.","R není reflexivní.","R není symetrická.","R není tranzitivní.","R je ekvivalence.","A"
B4B01DMA,"Určete, zda je součet 1 + 2 + 4 + ... + 2^n roven 2^(n+1) - 1 pro všechna n ∈ ℕ pomocí indukce.","Pravdivý.","Nepravdivý, selže základ.","Nepravdivý, selže indukce.","Nelze ověřit.","Pravdivý pouze pro n ≥ 2.","A"
B4B01DMA,"Pomocí Euklidova algoritmu určete NSD(56, 21).","7","14","21","28","56","A"
B4B01DMA,"Je dána relace R na množině ℤ: R = {(a, b) : a = b²}. Které tvrzení je pravdivé?","R je reflexivní.","R je symetrická.","R je tranzitivní.","R není symetrická.","R je ekvivalence.","D"
B4B01DMA,"Rekurzivní posloupnost: d(n) = 2d(n-1) + d(n-2), d(0) = 0, d(1) = 1. Jaká je hodnota d(3)?","1","2","3","5","8","D"
B4B01DMA,"Které tvrzení o celých číslech je pravdivé?","Každé liché číslo je prvočíslo.","Součet sudého a lichého čísla je sudý.","Součin dvou sudých čísel je sudý.","Každé celé číslo je dělitelné 2.","Součet dvou sudých čísel je liché.","C"
B4B01DMA,"Určete, zda je relace R na množině ℕ definovaná jako R = {(a, b) : a + b ≤ 5} tranzitivní.","Ano, je tranzitivní.","Ne, není tranzitivní.","Záleží na číslech.","Nelze určit.","Žádná možnost není správná.","B"
B4B01DMA,"Pomocí indukce ověřte: 1 + 4 + 7 + ... + (3n-2) = n(3n-1)/2 pro všechna n ∈ ℕ.","Pravdivý.","Nepravdivý, selže základ.","Nepravdivý, selže indukce.","Nelze ověřit.","Pravdivý pouze pro n ≤ 3.","A"
B4B01DMA,"Určete NSD(81, 27) pomocí Euklidova algoritmu.","9","18","27","36","81","A"
B4B01DMA,"Relace R na množině ℤ: R = {(a, b) : a + b = 0}. Které tvrzení je pravdivé?","R je reflexivní.","R je symetrická.","R je tranzitivní.","R je antisymetrická.","R je ekvivalence.","B"
B4B01DMA,"Posloupnost: e(n) = e(n-1) + 2n, e(1) = 1. Jaká je hodnota e(4)?","7","13","19","25","31","C"
B4B01DMA,"Které číslo je dělitelné 11?","12345","23456","34567","45678","56789","D"
B4B01DMA,"Relace R na množině ℕ: R = {(a, b) : a = b + 1}. Které tvrzení je pravdivé?","R je reflexivní.","R je symetrická.","R je tranzitivní.","R není tranzitivní.","R je ekvivalence.","D"
B4B01DMA,"Ověřte indukcí: 1 + 2 + 3 + ... + n = n(n+1)/2 pro všechna n ∈ ℕ.","Pravdivý.","Nepravdivý, selže základ.","Nepravdivý, selže indukce.","Nelze ověřit.","Pravdivý pouze pro n ≥ 3.","A"
B4B01DMA,"NSD(45, 18) pomocí Euklidova algoritmu je:","3","9","18","27","45","B"
B4B01DMA,"Relace R na množině ℤ: R = {(a, b) : a - b ≥ 0}. Které tvrzení je pravdivé?","R je reflexivní a tranzitivní.","R není reflexivní.","R není symetrická.","R není tranzitivní.","R je ekvivalence.","A"
B4B01DMA,"Posloupnost: f(n) = 2f(n-1) + 3, f(0) = 0. Jaká je hodnota f(3)?","9","15","21","27","33","C"
B4B01DMA,"Které tvrzení o Euklidově algoritmu je pravdivé?","Vrací vždy liché číslo.","Funguje pouze pro kladná čísla.","Je založen na součtu čísel.","Vrací vždy prvočíslo.","Lze ho použít i pro záporná čísla.","E"
B4B01DMA,"Relace R na množině ℕ: R = {(a, b) : a + b = 7}. Které tvrzení je pravdivé?","R je reflexivní.","R je symetrická.","R je tranzitivní.","R je antisymetrická.","R je ekvivalence.","B"
